Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",135.382000,-96.266000,90.000000,top
"C2","1u","C_0603_1608Metric",141.224000,-91.173000,90.000000,top
"C3","100n","C_0402_1005Metric",136.906000,-67.592000,-90.000000,top
"C4","1u","C_0402_1005Metric",137.160000,-76.454000,0.000000,top
"C5","10u","C_0402_1005Metric",137.160000,-75.438000,0.000000,top
"C6","200p","C_0402_1005Metric",135.890000,-67.620000,-90.000000,top
"C7","100n","C_0402_1005Metric",136.906000,-88.392000,90.000000,top
"C8","100n","C_0402_1005Metric",137.414000,-71.628000,90.000000,top
"C9","4.7u","C_0402_1005Metric",147.320000,-87.122000,0.000000,top
"C10","100n","C_0402_1005Metric",145.768000,-86.868000,-90.000000,top
"D1","D_Schottky_Small","D_SOD-123",139.192000,-90.296000,90.000000,top
"D2","LED","LED_0805_2012Metric",131.318000,-87.454500,90.000000,top
"J1","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",127.254000,-67.106800,0.000000,top
"J2","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",150.317200,-67.106800,0.000000,top
"J3","JST-PH","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",131.064000,-100.616000,-90.000000,top
"J4","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_Amphenol_12401610E4-2A",139.700000,-103.378000,0.000000,top
"MK1","SPH0645LM4H","Knowles_SPH0645LM4H-6_3.5x2.65mm",139.192000,-65.498000,180.000000,top
"Q1","AO3401A","SOT-23",138.351500,-95.184000,180.000000,top
"Q2","FS8205A","SOT-23-6",134.432000,-82.174500,-90.000000,top
"R1","10k","R_0603_1608Metric",141.321000,-95.250000,-90.000000,top
"R2","2k","R_0402_1005Metric",135.382000,-94.234000,90.000000,top
"R3","470","R_0603_1608Metric",131.318000,-90.741000,90.000000,top
"R4","100k","R_0402_1005Metric",131.064000,-76.454000,90.000000,top
"R5","100k","R_0603_1608Metric",139.637000,-76.708000,-90.000000,top
"R6","100k","R_0603_1608Metric",141.923000,-75.946000,180.000000,top
"R7","100","R_0603_1608Metric",134.366000,-90.678000,180.000000,top
"R8","4.7k","R_0402_1005Metric",136.904000,-74.168000,180.000000,top
"R9","4.7k","R_0402_1005Metric",136.906000,-73.152000,180.000000,top
"R10","51","R_0402_1005Metric",140.208000,-68.580000,-90.000000,top
"R11","51","R_0402_1005Metric",136.398000,-66.040000,180.000000,top
"R12","1k","R_0402_1005Metric",136.906000,-83.312000,90.000000,top
"R13","51","R_0402_1005Metric",139.192000,-68.580000,-90.000000,top
"R14","22k","R_0402_1005Metric",146.812000,-85.598000,90.000000,top
"R15","47k","R_0402_1005Metric",147.320000,-84.074000,0.000000,top
"R16","1k","R_0402_1005Metric",147.322000,-83.058000,180.000000,top
"R17","5.1k","R_0402_1005Metric",146.302000,-101.600000,0.000000,top
"R18","5.1k","R_0402_1005Metric",133.604000,-99.058000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",151.054000,-92.650000,90.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",126.822000,-92.362000,-90.000000,top
"U1","MCP73831-2-OT","SOT-23-5",132.709500,-95.062000,0.000000,top
"U2","AP2112K-3.3","SOT-23-5",133.990500,-76.774000,0.000000,top
"U3","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",140.970000,-72.390000,180.000000,top
"U4","DW01A","SOT-23-6",134.432000,-87.254500,-90.000000,top
"U5","CP2102N-Axx-xQFN20","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",144.014000,-83.540000,90.000000,top
"U6","USBLC6-2SC6","SOT-23-6",144.084000,-91.318500,90.000000,top
